list_place,list_date_time,detail_plaats,detail_datum,stance,language,identifies_as_immigrant
Bergen,02 oktober 2025 (23:28),Bergen,2 oktober 2025,Against,Dutch,Yes
Den Hoorn,02 oktober 2025 (23:14),Den Hoorn,2 oktober 2025,Against,Dutch,Unclear
Uithoorn ,02 oktober 2025 (23:14),Uithoorn,2 oktober 2025,Against,Dutch,Unclear
Maastricht,02 oktober 2025 (23:06),Maastricht,2 oktober 2025,Against,Dutch,Yes
Groningen,02 oktober 2025 (22:46),Groningen,2 oktober 2025,Against,Dutch,Unclear
Oosterhout,02 oktober 2025 (22:44),Oosterhout,2 oktober 2025,Against,Dutch,Yes
Hardenberg ,02 oktober 2025 (22:36),Hardenberg,2 oktober 2025,Against,Dutch,Unclear
Almere,02 oktober 2025 (22:35),Almere,2 oktober 2025,Against,Dutch,Yes
Utrecht,02 oktober 2025 (22:34),Utrecht,2 oktober 2025,Against,Dutch,Yes
Netherlands,02 oktober 2025 (22:32),Netherlands,2 oktober 2025,Against,English,Yes
Dordrecht,02 oktober 2025 (22:23),Dordrecht,2 oktober 2025,For,Dutch,Unclear
Uithoorn,02 oktober 2025 (22:18),Uithoorn,2 oktober 2025,Against,Dutch,Unclear
Den Haag,02 oktober 2025 (22:10),Den Haag,2 oktober 2025,Against,Dutch,Unclear
Amsterdam,02 oktober 2025 (22:07),Amsterdam,2 oktober 2025,Against,Dutch,Unclear
Amsterdam,02 oktober 2025 (22:06),Amsterdam,2 oktober 2025,Against,Dutch,Unclear
Rotterdam ,02 oktober 2025 (22:02),Rotterdam,2 oktober 2025,Against,Dutch,Unclear
Amsterdam,02 oktober 2025 (22:01),Amsterdam,2 oktober 2025,Against,Dutch,Yes
Breda,02 oktober 2025 (21:58),Breda,2 oktober 2025,Against,Dutch,Unclear
Almere,02 oktober 2025 (21:55),Almere,2 oktober 2025,Against,Dutch,Yes
Den haag,02 oktober 2025 (21:55),Den haag,2 oktober 2025,Against,Dutch,Yes
Amsterdam,02 oktober 2025 (21:52),Amsterdam,2 oktober 2025,Against,English,Unclear
Den Haag,02 oktober 2025 (21:51),Den Haag,2 oktober 2025,Against,English,Unclear
Amsterdam,02 oktober 2025 (21:48),Amsterdam,2 oktober 2025,Against,Dutch,Yes
Maastricht,02 oktober 2025 (21:47),Maastricht,2 oktober 2025,Against,Dutch,Unclear
Leiden,02 oktober 2025 (21:46),Leiden,2 oktober 2025,Against,Dutch,Unclear
rotterdam,02 oktober 2025 (21:45),rotterdam,2 oktober 2025,Against,English,Unclear
Purmering,02 oktober 2025 (21:44),,,Against,Other,Unclear
rotterdam,02 oktober 2025 (21:42),rotterdam,2 oktober 2025,Against,English,Unclear
Hellevoetsluis,02 oktober 2025 (21:42),Hellevoetsluis,2 oktober 2025,Against,Dutch,Unclear
Maastricht,02 oktober 2025 (21:35),Maastricht,2 oktober 2025,Against,English,Yes
Iran,02 oktober 2025 (21:31),Iran,2 oktober 2025,Against,English,Yes
Amsterdam,02 oktober 2025 (21:28),Amsterdam,2 oktober 2025,Against,English,Yes
Mussenveld 42,02 oktober 2025 (21:19),Mussenveld 42,2 oktober 2025,Against,Dutch,Unclear
Denhaag,02 oktober 2025 (21:19),Denhaag,2 oktober 2025,Against,Dutch,Yes
Almere,02 oktober 2025 (21:19),Almere,2 oktober 2025,Against,English,Yes
Utrecht ,02 oktober 2025 (21:18),Utrecht,2 oktober 2025,Against,English,Unclear
Leidschendam,02 oktober 2025 (21:17),Leidschendam,2 oktober 2025,Against,Dutch,Yes
Delft,02 oktober 2025 (21:16),Delft,2 oktober 2025,Against,English,Yes
Gouda,02 oktober 2025 (21:12),Gouda,2 oktober 2025,Against,Dutch,Unclear
Leidschendam,02 oktober 2025 (21:11),Leidschendam,2 oktober 2025,Against,Dutch,Yes
AMSTERDAM,02 oktober 2025 (21:09),AMSTERDAM,2 oktober 2025,Against,Dutch,Unclear
Rotterdam,02 oktober 2025 (21:05),Rotterdam,2 oktober 2025,Against,Dutch,Yes
Utrecht,02 oktober 2025 (21:04),Utrecht,2 oktober 2025,Against,English,Unclear
Delft,02 oktober 2025 (21:01),Delft,2 oktober 2025,Against,English,Unclear
Hoofddorp.,02 oktober 2025 (21:01),Hoofddorp.,2 oktober 2025,Against,Dutch,Unclear
Anoniem ,02 oktober 2025 (20:59),Anoniem,2 oktober 2025,Against,Dutch,Yes
tilburg,02 oktober 2025 (20:59),tilburg,2 oktober 2025,Against,Dutch,Yes
Assen,02 oktober 2025 (20:52),Assen,2 oktober 2025,Against,Dutch,Unclear
Den Haag,02 oktober 2025 (20:49),Den Haag,2 oktober 2025,Against,English,No
Boskoop ,02 oktober 2025 (20:48),Boskoop,2 oktober 2025,Against,Dutch,Unclear
Amersfoort .nederland,02 oktober 2025 (20:47),Amersfoort .nederland,2 oktober 2025,Against,Dutch,Unclear
Nijmegen ,02 oktober 2025 (20:45),Nijmegen,2 oktober 2025,Against,Dutch,Unclear
Maastricht,02 oktober 2025 (20:44),Maastricht,2 oktober 2025,Against,English,Yes
Rotterdam,02 oktober 2025 (20:38),Rotterdam,2 oktober 2025,Against,Dutch,Unclear
Amsterdam,02 oktober 2025 (20:37),Amsterdam,2 oktober 2025,Against,English,Unclear
Hoorn,02 oktober 2025 (20:36),Hoorn,2 oktober 2025,Against,Dutch,Unclear
Rotterdam,02 oktober 2025 (20:34),Rotterdam,2 oktober 2025,Against,Dutch,Unclear
Den Haag,02 oktober 2025 (20:33),Den Haag,2 oktober 2025,Against,Dutch,Yes
Den haag ,02 oktober 2025 (20:30),Den haag,2 oktober 2025,Against,Dutch,Unclear
Kampen,02 oktober 2025 (20:27),Kampen,2 oktober 2025,Against,Dutch,Unclear
Eerbeek,02 oktober 2025 (20:25),Eerbeek,2 oktober 2025,Against,Dutch,Yes
anoniem,02 oktober 2025 (20:24),anoniem,2 oktober 2025,Against,Dutch,No
HUIZEN,02 oktober 2025 (20:24),HUIZEN,2 oktober 2025,Against,Dutch,No
Den haag,02 oktober 2025 (20:23),Den haag,2 oktober 2025,Against,Dutch,Unclear
Apeldoorn,02 oktober 2025 (20:22),Apeldoorn,2 oktober 2025,Against,Dutch,Unclear
Amsterdam,02 oktober 2025 (20:17),Amsterdam,2 oktober 2025,Against,Dutch,Unclear
Nord Holland,02 oktober 2025 (20:08),Nord Holland,2 oktober 2025,Against,English,Yes
Utrecht,02 oktober 2025 (20:00),Utrecht,2 oktober 2025,Against,Dutch,Unclear
Rotterdam,02 oktober 2025 (20:00),Rotterdam,2 oktober 2025,Against,Dutch,Unclear
Helmond,02 oktober 2025 (19:59),Helmond,2 oktober 2025,Against,Dutch,Yes
Bussum,02 oktober 2025 (19:56),Bussum,2 oktober 2025,Against,English,Yes
Rotterdam,02 oktober 2025 (19:52),Rotterdam,2 oktober 2025,Against,Dutch,Yes
Amsterdam,02 oktober 2025 (19:48),Amsterdam,2 oktober 2025,Against,English,Yes
Geldrop ,02 oktober 2025 (19:48),Geldrop,2 oktober 2025,Against,Dutch,Unclear
Roterdam ,02 oktober 2025 (19:43),Roterdam,2 oktober 2025,Against,English,Yes
Utrecht,02 oktober 2025 (19:42),Utrecht,2 oktober 2025,Against,English,Unclear
Delfgauw,02 oktober 2025 (19:32),Delfgauw,2 oktober 2025,Against,Dutch,Unclear
Enschede,02 oktober 2025 (19:30),Enschede,2 oktober 2025,Against,Dutch,Yes
Rotterdam,02 oktober 2025 (19:19),Rotterdam,2 oktober 2025,Against,Dutch,Unclear
Rijswijk,02 oktober 2025 (19:18),Rijswijk,2 oktober 2025,Against,Dutch,Yes
Den haag ,02 oktober 2025 (18:51),Den haag,2 oktober 2025,Against,Dutch,Unclear
Delft,02 oktober 2025 (18:50),Delft,2 oktober 2025,Against,Dutch,Unclear
Maastricht,02 oktober 2025 (18:42),Maastricht,2 oktober 2025,Against,Dutch,Unclear
capelle aan den ijssel,02 oktober 2025 (18:42),capelle aan den ijssel,2 oktober 2025,Against,Dutch,Unclear
Amsterdam ,02 oktober 2025 (18:40),Amsterdam,2 oktober 2025,Against,Dutch,Unclear
Den Haag,02 oktober 2025 (18:39),Den Haag,2 oktober 2025,Against,Dutch,Yes
Dordrecht,02 oktober 2025 (18:39),Dordrecht,2 oktober 2025,Against,Dutch,Yes
Almere,02 oktober 2025 (18:37),Almere,2 oktober 2025,Against,Dutch,Unclear
Amsterdam,02 oktober 2025 (18:37),Amsterdam,2 oktober 2025,Against,English,Unclear
Waalre,02 oktober 2025 (18:32),Waalre,2 oktober 2025,Against,Dutch,Yes
Arnhem,02 oktober 2025 (18:26),Arnhem,2 oktober 2025,Against,English,Unclear
Amstelveen.,02 oktober 2025 (18:25),Amstelveen.,2 oktober 2025,Against,English,Unclear
Almere,02 oktober 2025 (18:23),Almere,2 oktober 2025,Against,English,Yes
Eindhoven,02 oktober 2025 (18:21),Eindhoven,2 oktober 2025,Against,Dutch,Unclear
Groningen,02 oktober 2025 (18:16),Groningen,2 oktober 2025,Against,Dutch,Unclear
Rotterdam,02 oktober 2025 (18:11),Rotterdam,2 oktober 2025,Against,Dutch,Unclear
Hellendorn ,02 oktober 2025 (18:04),Hellendorn,2 oktober 2025,Against,Dutch,Unclear
Eindhoven ,02 oktober 2025 (18:03),Eindhoven,2 oktober 2025,Against,Dutch,Unclear
rotterdam,02 oktober 2025 (18:00),rotterdam,2 oktober 2025,Against,Dutch,Unclear
Almere,02 oktober 2025 (18:00),Almere,2 oktober 2025,Against,English,Unclear
Eindhoven,02 oktober 2025 (17:58),Eindhoven,2 oktober 2025,Against,English,Yes
'S-Hertogenbosch,02 oktober 2025 (17:56),'S-Hertogenbosch,2 oktober 2025,Against,English,Unclear
UITHOORN,02 oktober 2025 (17:50),UITHOORN,2 oktober 2025,Against,Dutch,Unclear
"Maastricht, """,02 oktober 2025 (17:46),"Maastricht, """,2 oktober 2025,Against,English,Unclear
Lelystad,02 oktober 2025 (17:44),Lelystad,2 oktober 2025,Against,English,Unclear
Almelo ,02 oktober 2025 (17:34),Almelo,2 oktober 2025,Against,Dutch,No
Amsterdam,02 oktober 2025 (17:31),Amsterdam,2 oktober 2025,Against,English,Unclear
Amsterdam,02 oktober 2025 (17:18),Amsterdam,2 oktober 2025,Against,Dutch,Unclear
Sittard,02 oktober 2025 (17:17),Sittard,2 oktober 2025,Against,English,Unclear
Amsterdam ,02 oktober 2025 (17:17),Amsterdam,2 oktober 2025,Against,English,Unclear
Middelburg,02 oktober 2025 (17:17),Middelburg,2 oktober 2025,Against,Dutch,Unclear
Dalfsen ,02 oktober 2025 (17:12),Dalfsen,2 oktober 2025,Against,Dutch,Unclear
Sittard,02 oktober 2025 (17:12),Sittard,2 oktober 2025,Against,English,Unclear
Medemblik,02 oktober 2025 (17:11),Medemblik,2 oktober 2025,Against,Dutch,Unclear
Den Haag,02 oktober 2025 (17:11),Den Haag,2 oktober 2025,Against,Dutch,Unclear
Oldenzaal ,02 oktober 2025 (17:09),Oldenzaal,2 oktober 2025,Against,Dutch,Unclear
Leiden,02 oktober 2025 (17:09),Leiden,2 oktober 2025,Against,Dutch,Yes
Middelburg,02 oktober 2025 (17:08),Middelburg,2 oktober 2025,Against,Dutch,Unclear
Nijmegen,02 oktober 2025 (17:01),Nijmegen,2 oktober 2025,Against,Dutch,Unclear
Wildervank,02 oktober 2025 (16:59),Wildervank,2 oktober 2025,Against,Dutch,Unclear
Hendrik-Ido-Ambacht,02 oktober 2025 (16:59),Hendrik-Ido-Ambacht,2 oktober 2025,Against,Dutch,Unclear
??????,02 oktober 2025 (16:54),??????,2 oktober 2025,Against,Dutch,Unclear
Hellevoetsluis ,02 oktober 2025 (16:53),Hellevoetsluis,2 oktober 2025,Against,Dutch,Unclear
Amsterdam,02 oktober 2025 (16:45),Amsterdam,2 oktober 2025,Against,Dutch,Unclear
The Hague,02 oktober 2025 (16:41),The Hague,2 oktober 2025,Against,Dutch,Yes
Amsterdam,02 oktober 2025 (16:39),Amsterdam,2 oktober 2025,Against,English,Unclear
Uithoorn,02 oktober 2025 (16:39),Uithoorn,2 oktober 2025,Against,English,Yes
Amsterdam,02 oktober 2025 (16:39),Amsterdam,2 oktober 2025,Against,Dutch,Unclear
HEEMSKERK,02 oktober 2025 (16:37),HEEMSKERK,2 oktober 2025,Against,Dutch,Unclear
Diemen,02 oktober 2025 (16:31),Diemen,2 oktober 2025,Against,Dutch,Unclear
Helmond,02 oktober 2025 (16:21),Helmond,2 oktober 2025,Against,English,Unclear
Amsterdam,02 oktober 2025 (16:20),Amsterdam,2 oktober 2025,Against,Dutch,Yes
Luttelgeest,02 oktober 2025 (16:17),Luttelgeest,2 oktober 2025,Against,Dutch,Unclear
Haarlem,02 oktober 2025 (16:14),Haarlem,2 oktober 2025,Against,Dutch,Unclear
Sassenheim ,02 oktober 2025 (16:13),Sassenheim,2 oktober 2025,Against,Dutch,Unclear
Zoetrmeer,02 oktober 2025 (16:11),Zoetrmeer,2 oktober 2025,Against,Dutch,Yes
Amsterdam,02 oktober 2025 (16:00),Amsterdam,2 oktober 2025,Against,English,Yes
Zoetermeer,02 oktober 2025 (15:56),Zoetermeer,2 oktober 2025,Against,English,Yes
Amsterdam,02 oktober 2025 (15:52),Amsterdam,2 oktober 2025,Against,Dutch,Unclear
Utrecht,02 oktober 2025 (15:50),Utrecht,2 oktober 2025,Against,English,Unclear
Enschede ,02 oktober 2025 (15:45),Enschede,2 oktober 2025,Against,English,Yes
North holland,02 oktober 2025 (15:41),North holland,2 oktober 2025,Against,English,Yes
Utrecht,02 oktober 2025 (15:37),Utrecht,2 oktober 2025,Against,English,Yes
"Hoofddorp, Netherlands ",02 oktober 2025 (15:33),"Hoofddorp, Netherlands",2 oktober 2025,Against,English,Yes
Breda,02 oktober 2025 (15:31),Breda,2 oktober 2025,Against,Dutch,Yes
Almelo ,02 oktober 2025 (15:30),Almelo,2 oktober 2025,Against,Dutch,Unclear
Tilburg,02 oktober 2025 (15:27),Tilburg,2 oktober 2025,Against,Dutch,Unclear
Veldhoven,02 oktober 2025 (15:25),Veldhoven,2 oktober 2025,Against,Other,Unclear
Amsterdam,02 oktober 2025 (15:19),Amsterdam,2 oktober 2025,Against,Dutch,Yes
Wageningen,02 oktober 2025 (15:18),Wageningen,2 oktober 2025,Against,Dutch,No
Lelystad,02 oktober 2025 (15:17),Lelystad,2 oktober 2025,Against,English,Unclear
Utrecht,02 oktober 2025 (15:17),Utrecht,2 oktober 2025,Against,English,Unclear
Zoetermeer,02 oktober 2025 (15:14),Zoetermeer,2 oktober 2025,Against,Dutch,Yes
Heemstede,02 oktober 2025 (15:13),Heemstede,2 oktober 2025,Against,Dutch,Yes
Amsterdam,02 oktober 2025 (15:12),Amsterdam,2 oktober 2025,Against,Dutch,Yes
Arnhem,02 oktober 2025 (15:07),Arnhem,2 oktober 2025,Against,English,Yes
's-Hertogenbosch,02 oktober 2025 (15:04),'s-Hertogenbosch,2 oktober 2025,Against,Dutch,Yes
Amsterdam ,02 oktober 2025 (14:54),Amsterdam,2 oktober 2025,Against,Dutch,Yes
Leeuwarden,02 oktober 2025 (14:50),Leeuwarden,2 oktober 2025,Against,Dutch,Yes
Rotterdam ,02 oktober 2025 (14:49),Rotterdam,2 oktober 2025,Against,Dutch,Yes
Amsterdam,02 oktober 2025 (14:47),Amsterdam,2 oktober 2025,Against,Dutch,Yes
?????????,02 oktober 2025 (14:46),?????????,2 oktober 2025,Against,Dutch,Yes
Utrecht,02 oktober 2025 (14:44),Utrecht,2 oktober 2025,Against,Dutch,Yes
5328AJ,02 oktober 2025 (14:40),5328AJ,2 oktober 2025,Against,Dutch,Unclear
Hoofddorp,02 oktober 2025 (14:39),Hoofddorp,2 oktober 2025,Against,Dutch,Yes
North Holland,02 oktober 2025 (14:39),North Holland,2 oktober 2025,Against,English,Yes
Rotterdam,02 oktober 2025 (14:37),Rotterdam,2 oktober 2025,Against,English,Unclear
Rotterdam,02 oktober 2025 (14:35),Rotterdam,2 oktober 2025,Against,Dutch,Unclear
Nijkerk,02 oktober 2025 (14:34),Nijkerk,2 oktober 2025,Against,Dutch,Yes
Arnhem,02 oktober 2025 (14:27),Arnhem,2 oktober 2025,Against,English,Unclear
Groningen,02 oktober 2025 (14:23),Groningen,2 oktober 2025,Against,English,Unclear
Bussum,02 oktober 2025 (14:21),Bussum,2 oktober 2025,Against,English,Unclear
Voorburg,02 oktober 2025 (14:21),Voorburg,2 oktober 2025,Against,English,Yes
Lelystad,02 oktober 2025 (14:20),Lelystad,2 oktober 2025,Against,English,Yes
Arnhem,02 oktober 2025 (14:19),Arnhem,2 oktober 2025,Against,Dutch,Unclear
Amsterdam,02 oktober 2025 (14:19),Amsterdam,2 oktober 2025,Against,Dutch,Unclear
Almere ,02 oktober 2025 (14:16),Almere,2 oktober 2025,Against,English,Unclear
Haarlem,02 oktober 2025 (14:14),Haarlem,2 oktober 2025,Against,Dutch,Unclear
Almere,02 oktober 2025 (14:12),Almere,2 oktober 2025,Against,English,Unclear
Utrecht,02 oktober 2025 (14:12),Utrecht,2 oktober 2025,Against,Dutch,No
Dirksland,02 oktober 2025 (14:09),Dirksland,2 oktober 2025,Against,Dutch,Unclear
Almere,02 oktober 2025 (14:07),Almere,2 oktober 2025,Against,English,Unclear
Amsterdam,02 oktober 2025 (14:07),Amsterdam,2 oktober 2025,Against,English,Yes
Den Haag,02 oktober 2025 (14:07),Den Haag,2 oktober 2025,Against,Dutch,Yes
Haarlem,02 oktober 2025 (14:07),Haarlem,2 oktober 2025,Against,Dutch,Yes
Amaterdam,02 oktober 2025 (14:06),Amaterdam,2 oktober 2025,Against,Dutch,Unclear
Wilnis,02 oktober 2025 (13:59),Wilnis,2 oktober 2025,Against,Dutch,Unclear
Eindhoven,02 oktober 2025 (13:59),Eindhoven,2 oktober 2025,Against,English,Unclear
Amsterdam,02 oktober 2025 (13:57),Amsterdam,2 oktober 2025,Against,Dutch,Yes
Stien,02 oktober 2025 (13:57),Stien,2 oktober 2025,Against,Dutch,Unclear
Deurne,02 oktober 2025 (13:56),Deurne,2 oktober 2025,Against,Dutch,Unclear
dordrecht,02 oktober 2025 (13:56),dordrecht,2 oktober 2025,Against,Dutch,Unclear
Rotterdam,02 oktober 2025 (13:54),Rotterdam,2 oktober 2025,Against,English,Yes
Netherlands,02 oktober 2025 (13:53),Netherlands,2 oktober 2025,Against,English,Yes
The Hague,02 oktober 2025 (13:51),The Hague,2 oktober 2025,Against,English,Yes
Rotterdam,02 oktober 2025 (13:48),Rotterdam,2 oktober 2025,Against,English,Yes
Zoetermeer,02 oktober 2025 (13:48),Zoetermeer,2 oktober 2025,Against,English,Unclear
Sellingen,02 oktober 2025 (13:45),Sellingen,2 oktober 2025,Against,Dutch,Unclear
Almere,02 oktober 2025 (13:42),Almere,2 oktober 2025,Against,Dutch,Unclear
Maastricht,02 oktober 2025 (13:41),Maastricht,2 oktober 2025,Against,English,Unclear
Bussum,02 oktober 2025 (13:41),Bussum,2 oktober 2025,Against,English,Unclear
Eindhoven ,02 oktober 2025 (13:41),Eindhoven,2 oktober 2025,Against,English,Unclear
"Roskam, Veldhoven, NL",02 oktober 2025 (13:39),"Roskam, Veldhoven, NL",2 oktober 2025,,,
Haarlem ,02 oktober 2025 (13:35),Haarlem,2 oktober 2025,Against,Dutch,Yes
Amsterdam,02 oktober 2025 (13:35),Amsterdam,2 oktober 2025,Against,English,Unclear
Rotterdam,02 oktober 2025 (13:29),Rotterdam,2 oktober 2025,Against,Dutch,Unclear
's-Gravenhage,02 oktober 2025 (13:28),'s-Gravenhage,2 oktober 2025,Against,Other,Unclear
The Hague,02 oktober 2025 (13:26),The Hague,2 oktober 2025,Against,English,Yes
Beverwijk,02 oktober 2025 (13:24),Beverwijk,2 oktober 2025,Against,English,Unclear
Deventer,02 oktober 2025 (13:24),Deventer,2 oktober 2025,Against,Dutch,Unclear
Amsterdam,02 oktober 2025 (13:14),Amsterdam,2 oktober 2025,Against,Dutch,Unclear
Oud-beijerland,02 oktober 2025 (13:12),Oud-beijerland,2 oktober 2025,Against,Dutch,Unclear
Heerhugowaard ,02 oktober 2025 (13:11),Heerhugowaard,2 oktober 2025,Against,Dutch,Unclear
Utrecht,02 oktober 2025 (13:11),Utrecht,2 oktober 2025,Against,Dutch,Yes
Leeuwarden ,02 oktober 2025 (13:09),Leeuwarden,2 oktober 2025,Against,Dutch,Yes
Eindhoven,02 oktober 2025 (13:07),Eindhoven,2 oktober 2025,Against,English,Yes
Groningen,02 oktober 2025 (13:07),Groningen,2 oktober 2025,Against,Dutch,No
Utrecht,02 oktober 2025 (13:05),Utrecht,2 oktober 2025,Against,Dutch,Unclear
"Rotterdam, South Holland",02 oktober 2025 (13:05),"Rotterdam, South Holland",2 oktober 2025,Against,English,Unclear
Amersfoort ,02 oktober 2025 (13:04),Amersfoort,2 oktober 2025,Against,English,Yes
Helmond ,02 oktober 2025 (13:01),Helmond,2 oktober 2025,Against,English,Unclear
Amsterdam,02 oktober 2025 (12:58),Amsterdam,2 oktober 2025,Against,Other,Unclear
Purmerend ,02 oktober 2025 (12:57),Purmerend,2 oktober 2025,Against,Dutch,Unclear
Almere,02 oktober 2025 (12:57),Almere,2 oktober 2025,Against,Dutch,Unclear
Maastricht,02 oktober 2025 (12:56),Maastricht,2 oktober 2025,Against,Dutch,Unclear
The Hague,02 oktober 2025 (12:56),The Hague,2 oktober 2025,Against,English,Unclear
Maastricht,02 oktober 2025 (12:54),Maastricht,2 oktober 2025,Against,Dutch,Unclear
Eindhoven,02 oktober 2025 (12:51),Eindhoven,2 oktober 2025,Against,English,Yes
Hoofddorp,02 oktober 2025 (12:50),Hoofddorp,2 oktober 2025,Against,Dutch,Yes
Gorinchem,02 oktober 2025 (12:48),Gorinchem,2 oktober 2025,Against,English,Unclear
Purmerend,02 oktober 2025 (12:45),Purmerend,2 oktober 2025,Against,Dutch,Yes
Amsterdam,02 oktober 2025 (12:44),Amsterdam,2 oktober 2025,Against,English,Yes
Heerlen,02 oktober 2025 (12:42),Heerlen,2 oktober 2025,Against,English,Yes
Eindhoven,02 oktober 2025 (12:41),Eindhoven,2 oktober 2025,Against,English,Yes
Oosterhout,02 oktober 2025 (12:40),Oosterhout,2 oktober 2025,Against,Dutch,Unclear
Amsterdam,02 oktober 2025 (12:37),Amsterdam,2 oktober 2025,Against,Dutch,Yes
Gouda,02 oktober 2025 (12:35),Gouda,2 oktober 2025,Against,Dutch,Unclear
Amsterdam,02 oktober 2025 (12:28),Amsterdam,2 oktober 2025,Against,English,Yes
Amsterdam,02 oktober 2025 (12:27),Amsterdam,2 oktober 2025,Against,Dutch,Unclear
Eindhoven,02 oktober 2025 (12:19),Eindhoven,2 oktober 2025,Against,English,Yes
Dordrecht,02 oktober 2025 (12:18),Dordrecht,2 oktober 2025,Against,Dutch,Unclear
Hilversum,02 oktober 2025 (12:13),Hilversum,2 oktober 2025,Against,English,Yes
Almelo,02 oktober 2025 (12:08),Almelo,2 oktober 2025,Against,Dutch,Yes
Schiedam,02 oktober 2025 (12:02),Schiedam,2 oktober 2025,Against,Dutch,Yes
boornbergum,02 oktober 2025 (12:01),boornbergum,2 oktober 2025,Against,Dutch,Unclear
Delft,02 oktober 2025 (12:01),Delft,2 oktober 2025,Against,English,Unclear
Utrecht,02 oktober 2025 (11:57),Utrecht,2 oktober 2025,Against,English,Yes
Amsterdam,02 oktober 2025 (11:52),Amsterdam,2 oktober 2025,Against,Dutch,Unclear
Rotterdam,02 oktober 2025 (11:48),Rotterdam,2 oktober 2025,Against,Dutch,Yes
Eindhoven,02 oktober 2025 (11:48),Eindhoven,2 oktober 2025,Against,English,Unclear
Amsterdam,02 oktober 2025 (11:45),Amsterdam,2 oktober 2025,Against,Dutch,Yes
Eindhoven,02 oktober 2025 (11:42),Eindhoven,2 oktober 2025,Against,English,Unclear
Eindhoven ,02 oktober 2025 (11:36),Eindhoven,2 oktober 2025,Against,English,Unclear
Rotterdam,02 oktober 2025 (11:36),Rotterdam,2 oktober 2025,Against,Dutch,Yes
Amstelveen,02 oktober 2025 (11:32),Amstelveen,2 oktober 2025,Against,Dutch,Unclear
Helmond,02 oktober 2025 (11:31),Helmond,2 oktober 2025,Against,Dutch,Unclear
Nijmegen,02 oktober 2025 (11:31),Nijmegen,2 oktober 2025,Against,Dutch,Yes
Iran,02 oktober 2025 (11:30),Iran,2 oktober 2025,Against,Dutch,Yes
Barendrecht,02 oktober 2025 (11:29),Barendrecht,2 oktober 2025,Against,Dutch,Yes
Amsterdam ,02 oktober 2025 (11:28),Amsterdam,2 oktober 2025,Against,English,Unclear
Amsterdam,02 oktober 2025 (11:26),Amsterdam,2 oktober 2025,Against,English,Unclear
AMSTELVEEN,02 oktober 2025 (11:20),AMSTELVEEN,2 oktober 2025,Against,Dutch,Yes
Amsterdam,02 oktober 2025 (11:14),Amsterdam,2 oktober 2025,Against,English,Unclear
Zaandam,02 oktober 2025 (11:14),Zaandam,2 oktober 2025,Against,Dutch,Unclear
Eindhoven,02 oktober 2025 (11:14),Eindhoven,2 oktober 2025,Against,English,Yes
Zoetermeer,02 oktober 2025 (11:11),Zoetermeer,2 oktober 2025,Against,Dutch,Yes
haarlem,02 oktober 2025 (11:08),haarlem,2 oktober 2025,Against,English,Unclear
Enschede,02 oktober 2025 (11:03),Enschede,2 oktober 2025,Against,English,Yes
Utrecht,02 oktober 2025 (10:58),Utrecht,2 oktober 2025,Against,Dutch,Unclear
Groningen ,02 oktober 2025 (10:51),Groningen,2 oktober 2025,Against,English,Yes
Heerhugowaard,02 oktober 2025 (10:45),Heerhugowaard,2 oktober 2025,Against,Dutch,Unclear
Leende,02 oktober 2025 (10:43),Leende,2 oktober 2025,Against,Dutch,Yes
Rotterdam,02 oktober 2025 (10:43),Rotterdam,2 oktober 2025,Against,Dutch,Unclear
Amstelveen,02 oktober 2025 (10:40),Amstelveen,2 oktober 2025,Against,English,Yes
Almere,02 oktober 2025 (10:39),Almere,2 oktober 2025,Against,English,Unclear
Apeldoorn,02 oktober 2025 (10:38),Apeldoorn,2 oktober 2025,Against,English,Yes
Nijmegen,02 oktober 2025 (10:37),Nijmegen,2 oktober 2025,Against,Dutch,Unclear
Almere,02 oktober 2025 (10:35),Almere,2 oktober 2025,Against,English,Unclear
Maarssen,02 oktober 2025 (10:33),Maarssen,2 oktober 2025,Against,Dutch,Yes
Rotterdam ,02 oktober 2025 (10:28),Rotterdam,2 oktober 2025,For,Dutch,Yes
The Hague,02 oktober 2025 (10:28),The Hague,2 oktober 2025,Against,English,Yes
Rijswijk,02 oktober 2025 (10:28),Rijswijk,2 oktober 2025,Against,Dutch,Unclear
Utrecht,02 oktober 2025 (10:27),Utrecht,2 oktober 2025,Against,English,Unclear
Eindhoven,02 oktober 2025 (10:09),Eindhoven,2 oktober 2025,Against,English,Yes
Amsterdam,02 oktober 2025 (10:04),Amsterdam,2 oktober 2025,Against,English,Yes
Amsterdam,02 oktober 2025 (09:57),Amsterdam,2 oktober 2025,Against,English,Unclear
Amsterdam,02 oktober 2025 (09:51),Amsterdam,2 oktober 2025,Against,Dutch,Unclear
Utrecht,02 oktober 2025 (09:51),Utrecht,2 oktober 2025,Against,Dutch,Unclear
Nieuwegein,02 oktober 2025 (09:48),Nieuwegein,2 oktober 2025,Against,English,Unclear
Nootdorp,02 oktober 2025 (09:36),Nootdorp,2 oktober 2025,Against,Dutch,Yes
Haarlem ,02 oktober 2025 (09:35),Haarlem,2 oktober 2025,Against,English,Unclear
Zoetermeer,02 oktober 2025 (09:33),Zoetermeer,2 oktober 2025,Against,Dutch,Unclear
Rijnsburg,02 oktober 2025 (09:31),Rijnsburg,2 oktober 2025,Against,Dutch,Unclear
Soest,02 oktober 2025 (09:29),Soest,2 oktober 2025,Against,Dutch,Yes
